leaderAction, followerAction, leaderProfit, followerProfit, leaderEstimatedProfit, followerEstimatedProfit, price
0.000000, 0.000000, 0.000000, 0.000000, 0.190053, 0.271637, 3.000000
0.000000, 0.010000, 0.000000, 0.024833, 0.190053, 0.271637, 2.990000
0.000000, 0.020000, 0.000000, 0.049333, 0.190053, 0.271637, 2.980000
0.000000, 0.030000, 0.000000, 0.073500, 0.190053, 0.271637, 2.970000
0.000000, 0.040000, 0.000000, 0.097333, 0.190053, 0.271637, 2.960000
0.000000, 0.050000, 0.000000, 0.120833, 0.190053, 0.271637, 2.950000
0.000000, 0.060000, 0.000000, 0.144000, 0.190053, 0.271637, 2.940000
0.000000, 0.070000, 0.000000, 0.166833, 0.190053, 0.271637, 2.930000
0.000000, 0.080000, 0.000000, 0.189333, 0.190053, 0.271637, 2.920000
0.000000, 0.090000, 0.000000, 0.211500, 0.190053, 0.271637, 2.910000
0.000000, 0.100000, 0.000000, 0.233333, 0.190053, 0.271637, 2.900000
0.000000, 0.110000, 0.000000, 0.254833, 0.190053, 0.271637, 2.890000
0.000000, 0.120000, 0.000000, 0.276000, 0.190053, 0.271637, 2.880000
0.000000, 0.130000, 0.000000, 0.296833, 0.190053, 0.271637, 2.870000
0.000000, 0.140000, 0.000000, 0.317333, 0.190053, 0.271637, 2.860000
0.000000, 0.150000, 0.000000, 0.337500, 0.190053, 0.271637, 2.850000
0.000000, 0.160000, 0.000000, 0.357333, 0.190053, 0.271637, 2.840000
0.000000, 0.170000, 0.000000, 0.376833, 0.190053, 0.271637, 2.830000
0.000000, 0.180000, 0.000000, 0.396000, 0.190053, 0.271637, 2.820000
0.000000, 0.190000, 0.000000, 0.414833, 0.190053, 0.271637, 2.810000
0.000000, 0.200000, 0.000000, 0.433333, 0.190053, 0.271637, 2.800000
0.000000, 0.210000, 0.000000, 0.451500, 0.190053, 0.271637, 2.790000
0.000000, 0.220000, 0.000000, 0.469333, 0.190053, 0.271637, 2.780000
0.000000, 0.230000, 0.000000, 0.486833, 0.190053, 0.271637, 2.770000
0.000000, 0.240000, 0.000000, 0.504000, 0.190053, 0.271637, 2.760000
0.000000, 0.250000, 0.000000, 0.520833, 0.190053, 0.271637, 2.750000
0.000000, 0.260000, 0.000000, 0.537333, 0.190053, 0.271637, 2.740000
0.000000, 0.270000, 0.000000, 0.553500, 0.190053, 0.271637, 2.730000
0.000000, 0.280000, 0.000000, 0.569333, 0.190053, 0.271637, 2.720000
0.000000, 0.290000, 0.000000, 0.584833, 0.190053, 0.271637, 2.710000
0.000000, 0.300000, 0.000000, 0.600000, 0.190053, 0.271637, 2.700000
0.000000, 0.310000, 0.000000, 0.614833, 0.190053, 0.271637, 2.690000
0.000000, 0.320000, 0.000000, 0.629333, 0.190053, 0.271637, 2.680000
0.000000, 0.330000, 0.000000, 0.643500, 0.190053, 0.271637, 2.670000
0.000000, 0.340000, 0.000000, 0.657333, 0.190053, 0.271637, 2.660000
0.000000, 0.350000, 0.000000, 0.670833, 0.190053, 0.271637, 2.650000
0.000000, 0.360000, 0.000000, 0.684000, 0.190053, 0.271637, 2.640000
0.000000, 0.370000, 0.000000, 0.696833, 0.190053, 0.271637, 2.630000
0.000000, 0.380000, 0.000000, 0.709333, 0.190053, 0.271637, 2.620000
0.000000, 0.390000, 0.000000, 0.721500, 0.190053, 0.271637, 2.610000
0.000000, 0.400000, 0.000000, 0.733333, 0.190053, 0.271637, 2.600000
0.000000, 0.410000, 0.000000, 0.744833, 0.190053, 0.271637, 2.590000
0.000000, 0.420000, 0.000000, 0.756000, 0.190053, 0.271637, 2.580000
0.000000, 0.430000, 0.000000, 0.766833, 0.190053, 0.271637, 2.570000
0.000000, 0.440000, 0.000000, 0.777333, 0.190053, 0.271637, 2.560000
0.000000, 0.450000, 0.000000, 0.787500, 0.190053, 0.271637, 2.550000
0.000000, 0.460000, 0.000000, 0.797333, 0.190053, 0.271637, 2.540000
0.000000, 0.470000, 0.000000, 0.806833, 0.190053, 0.271637, 2.530000
0.000000, 0.480000, 0.000000, 0.816000, 0.190053, 0.271637, 2.520000
0.000000, 0.490000, 0.000000, 0.824833, 0.190053, 0.271637, 2.510000
0.000000, 0.500000, 0.000000, 0.833333, 0.190053, 0.271637, 2.500000
0.000000, 0.510000, 0.000000, 0.841500, 0.190053, 0.271637, 2.490000
0.000000, 0.520000, 0.000000, 0.849333, 0.190053, 0.271637, 2.480000
0.000000, 0.530000, 0.000000, 0.856833, 0.190053, 0.271637, 2.470000
0.000000, 0.540000, 0.000000, 0.864000, 0.190053, 0.271637, 2.460000
0.000000, 0.550000, 0.000000, 0.870833, 0.190053, 0.271637, 2.450000
0.000000, 0.560000, 0.000000, 0.877333, 0.190053, 0.271637, 2.440000
0.000000, 0.570000, 0.000000, 0.883500, 0.190053, 0.271637, 2.430000
0.000000, 0.580000, 0.000000, 0.889333, 0.190053, 0.271637, 2.420000
0.000000, 0.590000, 0.000000, 0.894833, 0.190053, 0.271637, 2.410000
0.000000, 0.600000, 0.000000, 0.900000, 0.190053, 0.271637, 2.400000
0.000000, 0.610000, 0.000000, 0.904833, 0.190053, 0.271637, 2.390000
0.000000, 0.620000, 0.000000, 0.909333, 0.190053, 0.271637, 2.380000
0.000000, 0.630000, 0.000000, 0.913500, 0.190053, 0.271637, 2.370000
0.000000, 0.640000, 0.000000, 0.917333, 0.190053, 0.271637, 2.360000
0.000000, 0.650000, 0.000000, 0.920833, 0.190053, 0.271637, 2.350000
0.000000, 0.660000, 0.000000, 0.924000, 0.190053, 0.271637, 2.340000
0.000000, 0.670000, 0.000000, 0.926833, 0.190053, 0.271637, 2.330000
0.000000, 0.680000, 0.000000, 0.929333, 0.190053, 0.271637, 2.320000
0.000000, 0.690000, 0.000000, 0.931500, 0.190053, 0.271637, 2.310000
0.000000, 0.700000, 0.000000, 0.933333, 0.190053, 0.271637, 2.300000
0.000000, 0.710000, 0.000000, 0.934833, 0.190053, 0.271637, 2.290000
0.000000, 0.720000, 0.000000, 0.936000, 0.190053, 0.271637, 2.280000
0.000000, 0.730000, 0.000000, 0.936833, 0.190053, 0.271637, 2.270000
0.000000, 0.740000, 0.000000, 0.937333, 0.190053, 0.271637, 2.260000
0.000000, 0.750000, 0.000000, 0.937500, 0.190053, 0.271637, 2.250000
0.000000, 0.760000, 0.000000, 0.937333, 0.190053, 0.271637, 2.240000
0.000000, 0.770000, 0.000000, 0.936833, 0.190053, 0.271637, 2.230000
0.000000, 0.780000, 0.000000, 0.936000, 0.190053, 0.271637, 2.220001
0.000000, 0.790000, 0.000000, 0.934833, 0.190053, 0.271637, 2.210001
0.000000, 0.800000, 0.000000, 0.933333, 0.190053, 0.271637, 2.200001
0.000000, 0.810000, 0.000000, 0.931500, 0.190053, 0.271637, 2.190001
0.000000, 0.820000, 0.000000, 0.929333, 0.190053, 0.271637, 2.180001
0.000000, 0.830000, 0.000000, 0.926834, 0.190053, 0.271637, 2.170001
0.000000, 0.839999, 0.000000, 0.924000, 0.190053, 0.271637, 2.160001
0.000000, 0.849999, 0.000000, 0.920834, 0.190053, 0.271637, 2.150001
0.000000, 0.859999, 0.000000, 0.917334, 0.190053, 0.271637, 2.140001
0.000000, 0.869999, 0.000000, 0.913500, 0.190053, 0.271637, 2.130001
0.000000, 0.879999, 0.000000, 0.909334, 0.190053, 0.271637, 2.120001
0.000000, 0.889999, 0.000000, 0.904834, 0.190053, 0.271637, 2.110001
0.000000, 0.899999, 0.000000, 0.900000, 0.190053, 0.271637, 2.100001
0.000000, 0.909999, 0.000000, 0.894834, 0.190053, 0.271637, 2.090001
0.000000, 0.919999, 0.000000, 0.889334, 0.190053, 0.271637, 2.080001
0.000000, 0.929999, 0.000000, 0.883500, 0.190053, 0.271637, 2.070001
0.000000, 0.939999, 0.000000, 0.877334, 0.190053, 0.271637, 2.060001
0.000000, 0.949999, 0.000000, 0.870834, 0.190053, 0.271637, 2.050001
0.000000, 0.959999, 0.000000, 0.864000, 0.190053, 0.271637, 2.040001
0.000000, 0.969999, 0.000000, 0.856834, 0.190053, 0.271637, 2.030001
0.000000, 0.979999, 0.000000, 0.849334, 0.190053, 0.271637, 2.020001
0.000000, 0.989999, 0.000000, 0.841501, 0.190053, 0.271637, 2.010001
0.000000, 0.999999, 0.000000, 0.833334, 0.190053, 0.271637, 2.000001
0.010000, 0.000000, 0.024833, 0.000000, 0.193252, 0.278853, 2.990000
0.010000, 0.010000, 0.024750, 0.024750, 0.193252, 0.278853, 2.980000
0.010000, 0.020000, 0.024667, 0.049167, 0.193252, 0.278853, 2.970000
0.010000, 0.030000, 0.024583, 0.073250, 0.193252, 0.278853, 2.960000
0.010000, 0.040000, 0.024500, 0.097000, 0.193252, 0.278853, 2.950000
0.010000, 0.050000, 0.024417, 0.120417, 0.193252, 0.278853, 2.940000
0.010000, 0.060000, 0.024333, 0.143500, 0.193252, 0.278853, 2.930000
0.010000, 0.070000, 0.024250, 0.166250, 0.193252, 0.278853, 2.920000
0.010000, 0.080000, 0.024167, 0.188667, 0.193252, 0.278853, 2.910000
0.010000, 0.090000, 0.024083, 0.210750, 0.193252, 0.278853, 2.900000
0.010000, 0.100000, 0.024000, 0.232500, 0.193252, 0.278853, 2.890000
0.010000, 0.110000, 0.023917, 0.253917, 0.193252, 0.278853, 2.880000
0.010000, 0.120000, 0.023833, 0.275000, 0.193252, 0.278853, 2.870000
0.010000, 0.130000, 0.023750, 0.295750, 0.193252, 0.278853, 2.860000
0.010000, 0.140000, 0.023667, 0.316167, 0.193252, 0.278853, 2.850000
0.010000, 0.150000, 0.023583, 0.336250, 0.193252, 0.278853, 2.840000
