round, random_action, action, bestAction, profit, whitenoise
0, 0.454012, 0.496236, 0.522994, 0.497287, 1
1, 0.959283, 0.493279, 0.270358, 0.515964, 0
2, 0.223822, 0.483700, 0.638089, 0.261545, 0
3, 0.720897, 0.494896, 0.389552, 0.631576, 0
4, 0.429313, 0.488218, 0.535344, 0.380372, 0
5, 0.592453, 0.493747, 0.453774, 0.528649, 0
6, 0.196964, 0.490653, 0.651518, 0.445291, 0
7, 0.521487, 0.494865, 0.489256, 0.644827, 0
8, 0.595086, 0.491999, 0.452457, 0.481428, 0
9, 0.913561, 0.490603, 0.293220, 0.443954, 0
10, 0.513897, 0.159860, 0.493051, 0.093748, 1
11, 0.166540, 0.492143, 0.666730, 0.485304, 0
12, 0.514177, 0.494830, 0.492911, 0.659837, 0
13, 0.284715, 0.492138, 0.607643, 0.485161, 0
14, 0.616732, 0.494966, 0.441634, 0.601525, 0
15, 0.989211, 0.490193, 0.255394, 0.432972, 0
16, 0.430436, 0.483133, 0.534782, 0.246779, 0
17, 0.122052, 0.493726, 0.688974, 0.528071, 0
18, 0.780253, 0.494779, 0.359873, 0.681780, 0
19, 0.339537, 0.487093, 0.580232, 0.350584, 0
20, 0.991333, 0.291483, 0.254334, 0.338255, 1
21, 0.005047, 0.483093, 0.747476, 0.245733, 0
22, 0.656658, 0.494583, 0.421671, 0.739378, 0
23, 0.173239, 0.489436, 0.663381, 0.412762, 0
24, 0.981387, 0.494838, 0.259307, 0.656532, 0
25, 0.226845, 0.483281, 0.636577, 0.250636, 0
26, 0.726531, 0.494900, 0.386735, 0.630084, 0
27, 0.975445, 0.488111, 0.262277, 0.377539, 0
28, 0.554038, 0.483394, 0.472981, 0.253566, 0
29, 0.599331, 0.491382, 0.450335, 0.464829, 0
30, 0.370084, 0.437348, 0.564958, 0.393906, 1
31, 0.617654, 0.494870, 0.441173, 0.559162, 0
32, 0.933556, 0.490176, 0.283222, 0.432505, 0
33, 0.640263, 0.484187, 0.429869, 0.274265, 0
34, 0.503776, 0.489747, 0.498112, 0.421054, 0
35, 0.898951, 0.492335, 0.300524, 0.490476, 0
36, 0.206503, 0.484843, 0.646749, 0.291414, 0
37, 0.033800, 0.494876, 0.733100, 0.640121, 0
38, 0.175869, 0.494678, 0.662066, 0.725297, 0
39, 0.189475, 0.494841, 0.655262, 0.655234, 0
40, 0.355574, 0.535335, 0.572213, 0.701570, 1
41, 0.358488, 0.494979, 0.570756, 0.566467, 0
42, 0.497213, 0.494979, 0.501394, 0.565024, 0
43, 0.469767, 0.492459, 0.515117, 0.493832, 0
44, 0.617414, 0.492980, 0.441293, 0.507884, 0
45, 0.895066, 0.490180, 0.302467, 0.432626, 0
46, 0.682566, 0.484917, 0.408717, 0.293343, 0
47, 0.322102, 0.488945, 0.588949, 0.399680, 0
48, 0.906233, 0.494986, 0.296884, 0.583043, 0
49, 0.615454, 0.484705, 0.442273, 0.287802, 0
50, 0.880903, 0.486280, 0.309549, 0.430137, 1
51, 0.448610, 0.485185, 0.525695, 0.300377, 0
52, 0.871577, 0.493381, 0.314212, 0.518736, 0
53, 0.039080, 0.485362, 0.730460, 0.305013, 0
54, 0.434036, 0.494684, 0.532982, 0.722694, 0
55, 0.713217, 0.493658, 0.393391, 0.526221, 0
56, 0.359958, 0.488364, 0.570021, 0.384236, 0
57, 0.466514, 0.494979, 0.516743, 0.564296, 0
58, 0.788260, 0.493042, 0.355870, 0.509552, 0
59, 0.462040, 0.486941, 0.518980, 0.346576, 0
60, 0.030030, 0.809214, 0.734985, 0.839931, 1
61, 0.195568, 0.494673, 0.652216, 0.727155, 0
62, 0.919910, 0.494864, 0.290045, 0.645516, 0
63, 0.350404, 0.484446, 0.574798, 0.281022, 0
64, 0.459570, 0.494980, 0.520215, 0.569027, 0
65, 0.077586, 0.493173, 0.711207, 0.513112, 0
66, 0.743926, 0.494728, 0.378037, 0.703708, 0
67, 0.156746, 0.487782, 0.671627, 0.368799, 0
68, 0.731686, 0.494819, 0.384157, 0.664668, 0
69, 0.587245, 0.488014, 0.456377, 0.374948, 0
70, 0.184432, 0.641481, 0.657784, 0.585514, 1
71, 0.660418, 0.494851, 0.419791, 0.651010, 0
72, 0.201977, 0.489365, 0.649011, 0.410862, 0
73, 0.420218, 0.494871, 0.539891, 0.642354, 0
74, 0.861079, 0.493920, 0.319461, 0.533325, 0
75, 0.527627, 0.485561, 0.486187, 0.310235, 0
76, 0.419902, 0.491883, 0.540049, 0.478294, 0
77, 0.832339, 0.493926, 0.333831, 0.533488, 0
78, 0.330196, 0.486106, 0.584902, 0.324554, 0
79, 0.103009, 0.494984, 0.698495, 0.579035, 0
80, 0.898414, 0.487763, 0.300793, 0.681401, 1
81, 0.099609, 0.484853, 0.700195, 0.291681, 0
82, 0.732929, 0.494753, 0.383535, 0.692848, 0
83, 0.486947, 0.487990, 0.506527, 0.374323, 0
84, 0.760302, 0.492654, 0.369849, 0.499085, 0
85, 0.504013, 0.487471, 0.497993, 0.360581, 0
86, 0.045134, 0.492330, 0.727433, 0.490355, 0
87, 0.102881, 0.494691, 0.698560, 0.719709, 0
88, 0.223202, 0.494757, 0.638399, 0.691235, 0
89, 0.112797, 0.494896, 0.693602, 0.631882, 0
90, 0.277533, 0.429339, 0.611233, 0.595581, 1
91, 0.533102, 0.494958, 0.483449, 0.605070, 0
92, 0.617702, 0.491779, 0.441149, 0.475500, 0
93, 0.572667, 0.490175, 0.463667, 0.432480, 0
94, 0.392019, 0.491029, 0.553991, 0.455347, 0
95, 0.008752, 0.494454, 0.745624, 0.547846, 0
96, 0.940061, 0.494597, 0.279970, 0.737567, 0
97, 0.595421, 0.484064, 0.452289, 0.271046, 0
98, 0.706283, 0.490597, 0.396859, 0.443784, 0
99, 0.018740, 0.488495, 0.740630, 0.387727, 0
100, 0.319985, 0.528604, 0.590008, 0.783001, 1
101, 0.276142, 0.494986, 0.611929, 0.584091, 0
102, 0.072005, 0.494956, 0.713997, 0.605757, 0
103, 0.813349, 0.494722, 0.343325, 0.706460, 0
104, 0.559383, 0.486466, 0.470308, 0.334032, 0
105, 0.489179, 0.491280, 0.505410, 0.462107, 0
106, 0.457960, 0.492612, 0.521020, 0.497942, 0
107, 0.735370, 0.493204, 0.382315, 0.513938, 0
108, 0.683821, 0.487944, 0.408089, 0.373096, 0
109, 0.728296, 0.488921, 0.385852, 0.399047, 0
110, 0.096714, 0.535653, 0.701643, 0.413366, 1
111, 0.344596, 0.494750, 0.577702, 0.694276, 0
112, 0.336402, 0.494981, 0.581799, 0.571904, 0
113, 0.612918, 0.494983, 0.443541, 0.575961, 0
114, 0.454371, 0.490265, 0.522815, 0.434906, 0
115, 0.284564, 0.493272, 0.607718, 0.515780, 0
116, 0.228875, 0.494966, 0.635563, 0.601600, 0
117, 0.056153, 0.494902, 0.721924, 0.629083, 0
118, 0.360278, 0.494704, 0.569861, 0.714276, 0
119, 0.224576, 0.494978, 0.637712, 0.564138, 0
120, 0.952483, 0.203905, 0.273758, 0.260066, 1
121, 0.129910, 0.483829, 0.685045, 0.264904, 0
122, 0.076243, 0.494788, 0.711878, 0.677905, 0
123, 0.666616, 0.494727, 0.416692, 0.704370, 0
124, 0.308598, 0.489247, 0.595701, 0.407731, 0
125, 0.106032, 0.494989, 0.696984, 0.589730, 0
126, 0.615292, 0.494761, 0.442354, 0.689681, 0
127, 0.316263, 0.490220, 0.591869, 0.433702, 0
128, 0.113976, 0.494987, 0.693012, 0.585935, 0
129, 0.152088, 0.494770, 0.673956, 0.685763, 0
130, 0.744173, 0.462150, 0.377913, 0.622937, 1
131, 0.022749, 0.487777, 0.738626, 0.368675, 0
132, 0.792587, 0.494650, 0.353706, 0.730723, 0
133, 0.666235, 0.486859, 0.416882, 0.344410, 0
134, 0.212588, 0.489254, 0.643706, 0.407923, 0
135, 0.624572, 0.494883, 0.437714, 0.637119, 0
136, 0.298340, 0.490044, 0.600830, 0.428999, 0
137, 0.781671, 0.494982, 0.359165, 0.594800, 0
138, 0.178865, 0.487066, 0.660568, 0.349874, 0
139, 0.694366, 0.494845, 0.402817, 0.653757, 0
140, 0.842672, 0.347951, 0.328664, 0.280322, 1
141, 0.492537, 0.485910, 0.503732, 0.319402, 0
142, 0.581469, 0.492548, 0.459265, 0.496224, 0
143, 0.682659, 0.490862, 0.408671, 0.450872, 0
144, 0.532429, 0.488943, 0.483786, 0.399633, 0
145, 0.135343, 0.491792, 0.682328, 0.475843, 0
146, 0.719170, 0.494795, 0.390415, 0.675225, 0
147, 0.388026, 0.488251, 0.555987, 0.381241, 0
148, 0.658644, 0.494530, 0.420678, 0.549905, 0
149, 0.353817, 0.489398, 0.573092, 0.411759, 0
150, 0.967674, 0.549942, 0.266163, 0.630335, 1
151, 0.229338, 0.483541, 0.635331, 0.257402, 0
152, 0.891307, 0.494903, 0.304347, 0.628854, 0
153, 0.859127, 0.484988, 0.320437, 0.295209, 0
154, 0.929687, 0.485598, 0.285157, 0.311207, 0
155, 0.535443, 0.484261, 0.482278, 0.276180, 0
156, 0.237055, 0.491734, 0.631472, 0.474306, 0
157, 0.633987, 0.494912, 0.433007, 0.625046, 0
158, 0.257695, 0.489866, 0.621152, 0.424230, 0
159, 0.010370, 0.494935, 0.744815, 0.614860, 0
160, 0.983391, 0.579021, 0.258304, 0.862527, 1
161, 0.253012, 0.483243, 0.623494, 0.249648, 0
162, 0.912815, 0.494930, 0.293592, 0.617172, 0
163, 0.799194, 0.484580, 0.350403, 0.284538, 0
164, 0.368522, 0.486734, 0.565739, 0.341106, 0
165, 0.238358, 0.494900, 0.630821, 0.559968, 0
166, 0.255703, 0.494913, 0.622149, 0.624403, 0
167, 0.739230, 0.494933, 0.380385, 0.615844, 0
168, 0.060307, 0.487871, 0.719846, 0.371157, 0
169, 0.514591, 0.494708, 0.492704, 0.712228, 0
170, 0.604039, 0.187309, 0.447980, 0.184576, 1
171, 0.602391, 0.490434, 0.448804, 0.439409, 0
172, 0.430932, 0.490465, 0.534534, 0.440246, 0
173, 0.588579, 0.493716, 0.455711, 0.527816, 0
174, 0.695723, 0.490727, 0.402139, 0.447259, 0
175, 0.915473, 0.488695, 0.292264, 0.393047, 0
176, 0.195008, 0.484530, 0.652496, 0.283221, 0
177, 0.224731, 0.494863, 0.637634, 0.645792, 0
178, 0.561667, 0.494897, 0.469166, 0.631127, 0
179, 0.742853, 0.491237, 0.378573, 0.460944, 0
180, 0.717830, 0.434294, 0.391085, 0.328825, 1
181, 0.014919, 0.488276, 0.742541, 0.381915, 0
182, 0.884399, 0.494621, 0.307801, 0.734552, 0
183, 0.236937, 0.485119, 0.631532, 0.298640, 0
184, 0.198491, 0.494911, 0.650754, 0.625104, 0
185, 0.746428, 0.494867, 0.376786, 0.644074, 0
186, 0.548750, 0.487734, 0.475625, 0.367543, 0
187, 0.185500, 0.491482, 0.657250, 0.467522, 0
188, 0.851373, 0.494852, 0.324313, 0.650483, 0
189, 0.803835, 0.485745, 0.348082, 0.315067, 0
190, 0.681867, 0.487240, 0.409066, 0.339199, 1
191, 0.919124, 0.488958, 0.290438, 0.400033, 0
192, 0.486086, 0.484461, 0.506957, 0.281412, 0
193, 0.304368, 0.492670, 0.597816, 0.499526, 0
194, 0.682676, 0.494989, 0.408662, 0.591825, 0
195, 0.067650, 0.488943, 0.716175, 0.399625, 0
196, 0.358203, 0.494717, 0.570898, 0.708608, 0
197, 0.225723, 0.494979, 0.637138, 0.565165, 0
198, 0.401720, 0.494898, 0.549140, 0.630638, 0
199, 0.521770, 0.494270, 0.489115, 0.542847, 0
200, 0.869257, 0.320375, 0.315372, 0.313400, 1
201, 0.895062, 0.485406, 0.302469, 0.306167, 0
202, 0.978754, 0.484917, 0.260623, 0.293345, 0
203, 0.387301, 0.483331, 0.556350, 0.251935, 0
204, 0.566276, 0.494544, 0.466862, 0.550279, 0
