prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor
0.000000, 0.000000, 2.200000, 0.000000, 0.048264, 0.666058, 0.077611, 0.747533
0.000000, 0.010000, 2.190000, 0.021880, 0.050057, -1.000000, 0.079936, -1.000000
0.000000, 0.020000, 2.180000, 0.043520, 0.051913, -1.000000, 0.082326, -1.000000
0.000000, 0.030000, 2.170000, 0.064920, 0.053834, -1.000000, 0.084780, -1.000000
0.000000, 0.040000, 2.160000, 0.086080, 0.055822, -1.000000, 0.087300, -1.000000
0.000000, 0.050000, 2.150000, 0.107000, 0.057879, -1.000000, 0.089888, -1.000000
0.000000, 0.060000, 2.140000, 0.127680, 0.060007, -1.000000, 0.092545, -1.000000
0.000000, 0.070000, 2.130000, 0.148120, 0.062208, -1.000000, 0.095272, -1.000000
0.000000, 0.080000, 2.120000, 0.168320, 0.064484, -1.000000, 0.098071, -1.000000
0.000000, 0.090000, 2.110000, 0.188280, 0.066838, -1.000000, 0.100943, -1.000000
0.000000, 0.100000, 2.100000, 0.208000, 0.069271, -1.000000, 0.103889, -1.000000
0.000000, 0.110000, 2.090000, 0.227480, 0.071785, -1.000000, 0.106911, -1.000000
0.000000, 0.120000, 2.080000, 0.246720, 0.074384, -1.000000, 0.110010, -1.000000
0.000000, 0.130000, 2.070000, 0.265720, 0.077069, -1.000000, 0.113188, -1.000000
0.000000, 0.140000, 2.060000, 0.284480, 0.079843, -1.000000, 0.116445, -1.000000
0.000000, 0.150000, 2.050000, 0.303000, 0.082708, -1.000000, 0.119783, -1.000000
0.000000, 0.160000, 2.040000, 0.321280, 0.085665, -1.000000, 0.123204, -1.000000
0.000000, 0.170000, 2.030000, 0.339320, 0.088719, -1.000000, 0.126709, -1.000000
0.000000, 0.180000, 2.020000, 0.357120, 0.091870, -1.000000, 0.130298, -1.000000
0.000000, 0.190000, 2.010000, 0.374680, 0.095121, -1.000000, 0.133973, -1.000000
0.000000, 0.200000, 2.000000, 0.392000, 0.098475, -1.000000, 0.137736, -1.000000
0.000000, 0.210000, 1.990000, 0.409080, 0.101934, -1.000000, 0.141587, -1.000000
0.000000, 0.220000, 1.980000, 0.425920, 0.105501, -1.000000, 0.145189, -1.000000
0.000000, 0.230000, 1.970000, 0.442520, 0.109176, -1.000000, 0.148597, -1.000000
0.000000, 0.240000, 1.960000, 0.458880, 0.112964, -1.000000, 0.152071, -1.000000
0.000000, 0.250000, 1.950000, 0.475000, 0.116866, -1.000000, 0.155612, -1.000000
0.000000, 0.260000, 1.940000, 0.490880, 0.120884, -1.000000, 0.159219, -1.000000
0.000000, 0.270000, 1.930000, 0.506520, 0.125021, -1.000000, 0.162894, -1.000000
0.000000, 0.280000, 1.920000, 0.521920, 0.129279, -1.000000, 0.166637, -1.000000
0.000000, 0.290000, 1.910000, 0.537080, 0.133660, -1.000000, 0.170448, -1.000000
0.000000, 0.300000, 1.900000, 0.552000, 0.138165, -1.000000, 0.174328, -1.000000
0.000000, 0.310000, 1.890000, 0.566680, 0.142797, -1.000000, 0.178278, -1.000000
0.000000, 0.320000, 1.880000, 0.581120, 0.147558, -1.000000, 0.182297, -1.000000
0.000000, 0.330000, 1.870000, 0.595320, 0.152450, -1.000000, 0.186387, -1.000000
0.000000, 0.340000, 1.860000, 0.609280, 0.157473, -1.000000, 0.190546, -1.000000
0.000000, 0.350000, 1.850000, 0.623000, 0.162631, -1.000000, 0.194777, -1.000000
0.000000, 0.360000, 1.840000, 0.636480, 0.167923, -1.000000, 0.199078, -1.000000
0.000000, 0.370000, 1.830000, 0.649720, 0.173353, -1.000000, 0.203450, -1.000000
0.000000, 0.380000, 1.820000, 0.662720, 0.178920, -1.000000, 0.207893, -1.000000
0.000000, 0.390000, 1.810000, 0.675480, 0.184626, -1.000000, 0.212408, -1.000000
0.000000, 0.400000, 1.800000, 0.688000, 0.190471, -1.000000, 0.216994, -1.000000
0.000000, 0.410000, 1.790000, 0.700280, 0.196457, -1.000000, 0.221650, -1.000000
0.000000, 0.420000, 1.780000, 0.712320, 0.202585, -1.000000, 0.226378, -1.000000
0.000000, 0.430000, 1.770000, 0.724120, 0.208853, -1.000000, 0.231177, -1.000000
0.000000, 0.440000, 1.760000, 0.735680, 0.215264, -1.000000, 0.236046, -1.000000
0.000000, 0.450000, 1.750000, 0.747000, 0.221815, -1.000000, 0.240986, -1.000000
0.000000, 0.460000, 1.740000, 0.758080, 0.228509, -1.000000, 0.245996, -1.000000
0.000000, 0.470000, 1.730000, 0.768920, 0.235343, -1.000000, 0.251076, -1.000000
0.000000, 0.480000, 1.720000, 0.779520, 0.242317, -1.000000, 0.256224, -1.000000
0.000000, 0.490000, 1.710000, 0.789880, 0.249430, -1.000000, 0.260711, -1.000000
0.000000, 0.500000, 1.700000, 0.800000, 0.256682, -1.000000, 0.262311, -1.000000
0.000000, 0.510000, 1.690000, 0.809880, 0.257778, -1.000000, 0.262858, -1.000000
0.000000, 0.520000, 1.680000, 0.819520, 0.257753, -1.000000, 0.263405, -1.000000
0.000000, 0.530000, 1.670000, 0.828920, 0.257727, -1.000000, 0.263954, -1.000000
0.000000, 0.540000, 1.660000, 0.838080, 0.257701, -1.000000, 0.264503, -1.000000
0.000000, 0.550000, 1.650000, 0.847000, 0.257675, -1.000000, 0.265053, -1.000000
0.000000, 0.560000, 1.640000, 0.855680, 0.257650, -1.000000, 0.265604, -1.000000
0.000000, 0.570000, 1.630000, 0.864120, 0.257624, -1.000000, 0.266155, -1.000000
0.000000, 0.580000, 1.620000, 0.872320, 0.257598, -1.000000, 0.266707, -1.000000
0.000000, 0.590000, 1.610000, 0.880280, 0.257572, -1.000000, 0.267260, -1.000000
0.000000, 0.600000, 1.600000, 0.888000, 0.257547, -1.000000, 0.267814, -1.000000
0.000000, 0.610000, 1.590000, 0.895480, 0.257521, -1.000000, 0.268368, -1.000000
0.000000, 0.620000, 1.580000, 0.902720, 0.257495, -1.000000, 0.268923, -1.000000
0.000000, 0.630000, 1.570000, 0.909720, 0.257469, -1.000000, 0.269479, -1.000000
0.000000, 0.640000, 1.560000, 0.916480, 0.257444, -1.000000, 0.270035, -1.000000
0.000000, 0.650000, 1.550000, 0.923000, 0.257418, -1.000000, 0.270593, -1.000000
0.000000, 0.660000, 1.540000, 0.929280, 0.257392, -1.000000, 0.271151, -1.000000
0.000000, 0.670000, 1.530000, 0.935320, 0.257366, -1.000000, 0.271709, -1.000000
0.000000, 0.680000, 1.520000, 0.941120, 0.257341, -1.000000, 0.272269, -1.000000
0.000000, 0.690000, 1.510000, 0.946680, 0.257315, -1.000000, 0.272829, -1.000000
0.000000, 0.700000, 1.500000, 0.952000, 0.257289, -1.000000, 0.273390, -1.000000
0.000000, 0.710000, 1.490000, 0.957080, 0.257263, -1.000000, 0.273951, -1.000000
0.000000, 0.720000, 1.480000, 0.961920, 0.257238, -1.000000, 0.274513, -1.000000
0.000000, 0.730000, 1.470001, 0.966520, 0.257212, -1.000000, 0.275076, -1.000000
0.000000, 0.740000, 1.460001, 0.970880, 0.257186, -1.000000, 0.275640, -1.000000
0.000000, 0.750000, 1.450001, 0.975000, 0.257160, -1.000000, 0.275149, -1.000000
0.000000, 0.760000, 1.440001, 0.978880, 0.257135, -1.000000, 0.271453, -1.000000
0.000000, 0.770000, 1.430001, 0.982520, 0.257109, -1.000000, 0.267787, -1.000000
0.000000, 0.780000, 1.420001, 0.985920, 0.256504, -1.000000, 0.264154, -1.000000
0.000000, 0.790000, 1.410001, 0.989080, 0.252183, -1.000000, 0.260552, -1.000000
0.000000, 0.800000, 1.400001, 0.992000, 0.247911, -1.000000, 0.256982, -1.000000
0.000000, 0.810000, 1.390001, 0.994680, 0.243687, -1.000000, 0.253444, -1.000000
0.000000, 0.820000, 1.380001, 0.997120, 0.239513, -1.000000, 0.249939, -1.000000
0.000000, 0.830000, 1.370001, 0.999320, 0.235388, -1.000000, 0.246465, -1.000000
0.000000, 0.839999, 1.360001, 1.001280, 0.231312, -1.000000, 0.243025, -1.000000
0.000000, 0.849999, 1.350001, 1.003000, 0.227286, -1.000000, 0.239617, -1.000000
0.000000, 0.859999, 1.340001, 1.004480, 0.223310, -1.000000, 0.236243, -1.000000
0.000000, 0.869999, 1.330001, 1.005720, 0.219383, -1.000000, 0.232901, -1.000000
0.000000, 0.879999, 1.320001, 1.006720, 0.215507, -1.000000, 0.229592, -1.000000
0.000000, 0.889999, 1.310001, 1.007480, 0.211680, -1.000000, 0.226317, -1.000000
0.000000, 0.899999, 1.300001, 1.008000, 0.207903, -1.000000, 0.223074, -1.000000
0.000000, 0.909999, 1.290001, 1.008280, 0.204176, -1.000000, 0.219865, -1.000000
0.000000, 0.919999, 1.280001, 1.008320, 0.200499, -1.000000, 0.216689, -1.000000
0.000000, 0.929999, 1.270001, 1.008120, 0.196872, -1.000000, 0.213546, -1.000000
0.000000, 0.939999, 1.260001, 1.007680, 0.193295, -1.000000, 0.210437, -1.000000
0.000000, 0.949999, 1.250001, 1.007000, 0.189767, -1.000000, 0.207361, -1.000000
0.000000, 0.959999, 1.240001, 1.006080, 0.186289, -1.000000, 0.204319, -1.000000
0.000000, 0.969999, 1.230001, 1.004920, 0.182860, -1.000000, 0.201310, -1.000000
0.000000, 0.979999, 1.220001, 1.003520, 0.179481, -1.000000, 0.198334, -1.000000
0.000000, 0.989999, 1.210001, 1.001880, 0.176150, -1.000000, 0.195391, -1.000000
0.000000, 0.999999, 1.200001, 1.000000, 0.172868, -1.000000, 0.192481, -1.000000
0.010000, 0.000000, 2.190000, 0.000000, 0.048304, 0.666058, 0.077604, 0.747236
0.010000, 0.010000, 2.180000, 0.021780, 0.050098, -1.000000, 0.079930, -1.000000
0.010000, 0.020000, 2.170000, 0.043320, 0.051956, -1.000000, 0.082319, -1.000000
0.010000, 0.030000, 2.160000, 0.064620, 0.053878, -1.000000, 0.084773, -1.000000
0.010000, 0.040000, 2.150000, 0.085680, 0.055868, -1.000000, 0.087293, -1.000000
0.010000, 0.050000, 2.140000, 0.106500, 0.057926, -1.000000, 0.089880, -1.000000
0.010000, 0.060000, 2.130000, 0.127080, 0.060056, -1.000000, 0.092537, -1.000000
0.010000, 0.070000, 2.120000, 0.147420, 0.062258, -1.000000, 0.095264, -1.000000
0.010000, 0.080000, 2.110000, 0.167520, 0.064536, -1.000000, 0.098062, -1.000000
0.010000, 0.090000, 2.100000, 0.187380, 0.066892, -1.000000, 0.100934, -1.000000
0.010000, 0.100000, 2.090000, 0.207000, 0.069327, -1.000000, 0.103880, -1.000000
0.010000, 0.110000, 2.080000, 0.226380, 0.071843, -1.000000, 0.106902, -1.000000
0.010000, 0.120000, 2.070000, 0.245520, 0.074444, -1.000000, 0.110001, -1.000000
0.010000, 0.130000, 2.060000, 0.264420, 0.077131, -1.000000, 0.113178, -1.000000
0.010000, 0.140000, 2.050000, 0.283080, 0.079907, -1.000000, 0.116435, -1.000000
0.010000, 0.150000, 2.040000, 0.301500, 0.082773, -1.000000, 0.119773, -1.000000
0.010000, 0.160000, 2.030000, 0.319680, 0.085733, -1.000000, 0.123194, -1.000000
0.010000, 0.170000, 2.020000, 0.337620, 0.088789, -1.000000, 0.126698, -1.000000
0.010000, 0.180000, 2.010000, 0.355320, 0.091942, -1.000000, 0.130287, -1.000000
0.010000, 0.190000, 2.000000, 0.372780, 0.095196, -1.000000, 0.133962, -1.000000
