prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor
0.000000, 0.000000, 2.200000, 0.000000, 0.158635, 0.710319, 0.083395, 0.696724
0.000000, 0.010000, 2.190000, 0.021880, 0.161814, -1.000000, 0.089279, -1.000000
0.000000, 0.020000, 2.180000, 0.043520, 0.165044, -1.000000, 0.095535, -1.000000
0.000000, 0.030000, 2.170000, 0.064920, 0.168326, -1.000000, 0.102179, -1.000000
0.000000, 0.040000, 2.160000, 0.086080, 0.171660, -1.000000, 0.109230, -1.000000
0.000000, 0.050000, 2.150000, 0.107000, 0.175045, -1.000000, 0.116705, -1.000000
0.000000, 0.060000, 2.140000, 0.127680, 0.178484, -1.000000, 0.124619, -1.000000
0.000000, 0.070000, 2.130000, 0.148120, 0.181974, -1.000000, 0.132989, -1.000000
0.000000, 0.080000, 2.120000, 0.168320, 0.185518, -1.000000, 0.141830, -1.000000
0.000000, 0.090000, 2.110000, 0.188280, 0.189115, -1.000000, 0.151157, -1.000000
0.000000, 0.100000, 2.100000, 0.208000, 0.192765, -1.000000, 0.160982, -1.000000
0.000000, 0.110000, 2.090000, 0.227480, 0.197869, -1.000000, 0.171316, -1.000000
0.000000, 0.120000, 2.080000, 0.246720, 0.203098, -1.000000, 0.182170, -1.000000
0.000000, 0.130000, 2.070000, 0.265720, 0.208429, -1.000000, 0.193551, -1.000000
0.000000, 0.140000, 2.060000, 0.284480, 0.213863, -1.000000, 0.205464, -1.000000
0.000000, 0.150000, 2.050000, 0.303000, 0.219399, -1.000000, 0.217913, -1.000000
0.000000, 0.160000, 2.040000, 0.321280, 0.225037, -1.000000, 0.230896, -1.000000
0.000000, 0.170000, 2.030000, 0.339320, 0.230777, -1.000000, 0.244412, -1.000000
0.000000, 0.180000, 2.020000, 0.357120, 0.236619, -1.000000, 0.258452, -1.000000
0.000000, 0.190000, 2.010000, 0.374680, 0.242562, -1.000000, 0.273008, -1.000000
0.000000, 0.200000, 2.000000, 0.392000, 0.248606, -1.000000, 0.288065, -1.000000
0.000000, 0.210000, 1.990000, 0.409080, 0.254750, -1.000000, 0.300858, -1.000000
0.000000, 0.220000, 1.980000, 0.425920, 0.260993, -1.000000, 0.305297, -1.000000
0.000000, 0.230000, 1.970000, 0.442520, 0.266628, -1.000000, 0.309773, -1.000000
0.000000, 0.240000, 1.960000, 0.458880, 0.271509, -1.000000, 0.314284, -1.000000
0.000000, 0.250000, 1.950000, 0.475000, 0.276501, -1.000000, 0.318831, -1.000000
0.000000, 0.260000, 1.940000, 0.490880, 0.281596, -1.000000, 0.323413, -1.000000
0.000000, 0.270000, 1.930000, 0.506520, 0.286747, -1.000000, 0.328028, -1.000000
0.000000, 0.280000, 1.920000, 0.521920, 0.291955, -1.000000, 0.332678, -1.000000
0.000000, 0.290000, 1.910000, 0.537080, 0.297218, -1.000000, 0.337360, -1.000000
0.000000, 0.300000, 1.900000, 0.552000, 0.302535, -1.000000, 0.342074, -1.000000
0.000000, 0.310000, 1.890000, 0.566680, 0.307905, -1.000000, 0.346819, -1.000000
0.000000, 0.320000, 1.880000, 0.581120, 0.313328, -1.000000, 0.351595, -1.000000
0.000000, 0.330000, 1.870000, 0.595320, 0.318803, -1.000000, 0.356401, -1.000000
0.000000, 0.340000, 1.860000, 0.609280, 0.324328, -1.000000, 0.361236, -1.000000
0.000000, 0.350000, 1.850000, 0.623000, 0.329902, -1.000000, 0.366100, -1.000000
0.000000, 0.360000, 1.840000, 0.636480, 0.335525, -1.000000, 0.370991, -1.000000
0.000000, 0.370000, 1.830000, 0.649720, 0.341195, -1.000000, 0.375908, -1.000000
0.000000, 0.380000, 1.820000, 0.662720, 0.346910, -1.000000, 0.380851, -1.000000
0.000000, 0.390000, 1.810000, 0.675480, 0.352670, -1.000000, 0.385819, -1.000000
0.000000, 0.400000, 1.800000, 0.688000, 0.358474, -1.000000, 0.390811, -1.000000
0.000000, 0.410000, 1.790000, 0.700280, 0.364318, -1.000000, 0.395826, -1.000000
0.000000, 0.420000, 1.780000, 0.712320, 0.370204, -1.000000, 0.400863, -1.000000
0.000000, 0.430000, 1.770000, 0.724120, 0.376128, -1.000000, 0.405921, -1.000000
0.000000, 0.440000, 1.760000, 0.735680, 0.382089, -1.000000, 0.410999, -1.000000
0.000000, 0.450000, 1.750000, 0.747000, 0.388086, -1.000000, 0.416095, -1.000000
0.000000, 0.460000, 1.740000, 0.758080, 0.394117, -1.000000, 0.421210, -1.000000
0.000000, 0.470000, 1.730000, 0.768920, 0.400181, -1.000000, 0.426342, -1.000000
0.000000, 0.480000, 1.720000, 0.779520, 0.406275, -1.000000, 0.431490, -1.000000
0.000000, 0.490000, 1.710000, 0.789880, 0.412398, -1.000000, 0.436653, -1.000000
0.000000, 0.500000, 1.700000, 0.800000, 0.418549, -1.000000, 0.441829, -1.000000
0.000000, 0.510000, 1.690000, 0.809880, 0.424724, -1.000000, 0.447018, -1.000000
0.000000, 0.520000, 1.680000, 0.819520, 0.430924, -1.000000, 0.452219, -1.000000
0.000000, 0.530000, 1.670000, 0.828920, 0.437145, -1.000000, 0.455079, -1.000000
0.000000, 0.540000, 1.660000, 0.838080, 0.443386, -1.000000, 0.455082, -1.000000
0.000000, 0.550000, 1.650000, 0.847000, 0.449645, -1.000000, 0.455086, -1.000000
0.000000, 0.560000, 1.640000, 0.855680, 0.455920, -1.000000, 0.455089, -1.000000
0.000000, 0.570000, 1.630000, 0.864120, 0.459103, -1.000000, 0.455093, -1.000000
0.000000, 0.580000, 1.620000, 0.872320, 0.459408, -1.000000, 0.455096, -1.000000
0.000000, 0.590000, 1.610000, 0.880280, 0.459712, -1.000000, 0.455099, -1.000000
0.000000, 0.600000, 1.600000, 0.888000, 0.460017, -1.000000, 0.455103, -1.000000
0.000000, 0.610000, 1.590000, 0.895480, 0.460322, -1.000000, 0.455106, -1.000000
0.000000, 0.620000, 1.580000, 0.902720, 0.460627, -1.000000, 0.455109, -1.000000
0.000000, 0.630000, 1.570000, 0.909720, 0.460932, -1.000000, 0.455113, -1.000000
0.000000, 0.640000, 1.560000, 0.916480, 0.461237, -1.000000, 0.455116, -1.000000
0.000000, 0.650000, 1.550000, 0.923000, 0.461541, -1.000000, 0.455119, -1.000000
0.000000, 0.660000, 1.540000, 0.929280, 0.461846, -1.000000, 0.455123, -1.000000
0.000000, 0.670000, 1.530000, 0.935320, 0.462151, -1.000000, 0.455126, -1.000000
