prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor
0.000000, 0.000000, 2.200000, 0.000000, 0.058877, 0.775319, 0.045783, 0.592716
0.000000, 0.010000, 2.190000, 0.021880, 0.059951, -1.000000, 0.046303, -1.000000
0.000000, 0.020000, 2.180000, 0.043520, 0.061044, -1.000000, 0.046829, -1.000000
0.000000, 0.030000, 2.170000, 0.064920, 0.062156, -1.000000, 0.047360, -1.000000
0.000000, 0.040000, 2.160000, 0.086080, 0.063286, -1.000000, 0.047897, -1.000000
0.000000, 0.050000, 2.150000, 0.107000, 0.065106, -1.000000, 0.048440, -1.000000
0.000000, 0.060000, 2.140000, 0.127680, 0.067322, -1.000000, 0.048989, -1.000000
0.000000, 0.070000, 2.130000, 0.148120, 0.069827, -1.000000, 0.049544, -1.000000
0.000000, 0.080000, 2.120000, 0.168320, 0.072622, -1.000000, 0.051452, -1.000000
0.000000, 0.090000, 2.110000, 0.188280, 0.075521, -1.000000, 0.053570, -1.000000
0.000000, 0.100000, 2.100000, 0.208000, 0.078525, -1.000000, 0.055770, -1.000000
0.000000, 0.110000, 2.090000, 0.227480, 0.081639, -1.000000, 0.058054, -1.000000
0.000000, 0.120000, 2.080000, 0.246720, 0.084864, -1.000000, 0.060426, -1.000000
0.000000, 0.130000, 2.070000, 0.265720, 0.088205, -1.000000, 0.062889, -1.000000
0.000000, 0.140000, 2.060000, 0.284480, 0.091664, -1.000000, 0.065445, -1.000000
0.000000, 0.150000, 2.050000, 0.303000, 0.095244, -1.000000, 0.068097, -1.000000
0.000000, 0.160000, 2.040000, 0.321280, 0.098949, -1.000000, 0.070849, -1.000000
0.000000, 0.170000, 2.030000, 0.339320, 0.102782, -1.000000, 0.073703, -1.000000
0.000000, 0.180000, 2.020000, 0.357120, 0.106745, -1.000000, 0.076663, -1.000000
0.000000, 0.190000, 2.010000, 0.374680, 0.110843, -1.000000, 0.079709, -1.000000
0.000000, 0.200000, 2.000000, 0.392000, 0.115078, -1.000000, 0.082644, -1.000000
0.000000, 0.210000, 1.990000, 0.409080, 0.119452, -1.000000, 0.085678, -1.000000
0.000000, 0.220000, 1.980000, 0.425920, 0.123970, -1.000000, 0.088812, -1.000000
0.000000, 0.230000, 1.970000, 0.442520, 0.128634, -1.000000, 0.092050, -1.000000
0.000000, 0.240000, 1.960000, 0.458880, 0.133446, -1.000000, 0.095393, -1.000000
0.000000, 0.250000, 1.950000, 0.475000, 0.138410, -1.000000, 0.098844, -1.000000
0.000000, 0.260000, 1.940000, 0.490880, 0.143528, -1.000000, 0.102406, -1.000000
0.000000, 0.270000, 1.930000, 0.506520, 0.148802, -1.000000, 0.106081, -1.000000
0.000000, 0.280000, 1.920000, 0.521920, 0.154235, -1.000000, 0.109872, -1.000000
0.000000, 0.290000, 1.910000, 0.537080, 0.159830, -1.000000, 0.113782, -1.000000
0.000000, 0.300000, 1.900000, 0.552000, 0.165588, -1.000000, 0.117811, -1.000000
