prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor, agent3EstimatedProfit, agent3Actor, agent4EstimatedProfit, agent4Actor
0.000000, 0.000000, 5.000000, 0.150000, 0.099591, 0.867047, 0.107597, 0.856277, 0.122689, 0.809213, 0.106377, 0.707915
0.000000, 0.010000, 4.990000, 0.162463, 0.101168, -1.000000, 0.109010, -1.000000, 0.123823, -1.000000, 0.107502, -1.000000
0.000000, 0.020000, 4.980000, 0.174850, 0.102767, -1.000000, 0.110438, -1.000000, 0.124966, -1.000000, 0.108638, -1.000000
0.000000, 0.030000, 4.970000, 0.187163, 0.104388, -1.000000, 0.111884, -1.000000, 0.126118, -1.000000, 0.109784, -1.000000
0.000000, 0.040000, 4.960000, 0.199400, 0.106032, -1.000000, 0.113345, -1.000000, 0.127279, -1.000000, 0.110941, -1.000000
0.000000, 0.050000, 4.950000, 0.211562, 0.107698, -1.000000, 0.114824, -1.000000, 0.128449, -1.000000, 0.112108, -1.000000
0.000000, 0.060000, 4.940000, 0.223650, 0.109388, -1.000000, 0.116319, -1.000000, 0.129628, -1.000000, 0.113286, -1.000000
0.000000, 0.070000, 4.930000, 0.235663, 0.111100, -1.000000, 0.117831, -1.000000, 0.130817, -1.000000, 0.114475, -1.000000
0.000000, 0.080000, 4.920000, 0.247600, 0.112836, -1.000000, 0.119360, -1.000000, 0.132014, -1.000000, 0.115674, -1.000000
0.000000, 0.090000, 4.910000, 0.259463, 0.114596, -1.000000, 0.120906, -1.000000, 0.133221, -1.000000, 0.116885, -1.000000
0.000000, 0.100000, 4.900000, 0.271250, 0.116380, -1.000000, 0.122469, -1.000000, 0.134438, -1.000000, 0.118106, -1.000000
0.000000, 0.110000, 4.890000, 0.282963, 0.118187, -1.000000, 0.124050, -1.000000, 0.135663, -1.000000, 0.119339, -1.000000
0.000000, 0.120000, 4.880000, 0.294600, 0.120019, -1.000000, 0.125648, -1.000000, 0.136899, -1.000000, 0.120583, -1.000000
0.000000, 0.130000, 4.870000, 0.306163, 0.121875, -1.000000, 0.127264, -1.000000, 0.138143, -1.000000, 0.121837, -1.000000
0.000000, 0.140000, 4.860000, 0.317650, 0.123756, -1.000000, 0.128898, -1.000000, 0.139397, -1.000000, 0.123104, -1.000000
0.000000, 0.150000, 4.850000, 0.329063, 0.125662, -1.000000, 0.130549, -1.000000, 0.140661, -1.000000, 0.124381, -1.000000
0.000000, 0.160000, 4.840000, 0.340400, 0.127593, -1.000000, 0.132218, -1.000000, 0.141934, -1.000000, 0.125670, -1.000000
0.000000, 0.170000, 4.830000, 0.351663, 0.129550, -1.000000, 0.133906, -1.000000, 0.143202, -1.000000, 0.126970, -1.000000
0.000000, 0.180000, 4.820000, 0.362850, 0.131531, -1.000000, 0.135611, -1.000000, 0.144479, -1.000000, 0.128281, -1.000000
0.000000, 0.190000, 4.810000, 0.373963, 0.133539, -1.000000, 0.137335, -1.000000, 0.145765, -1.000000, 0.129605, -1.000000
0.000000, 0.200000, 4.800000, 0.385000, 0.135572, -1.000000, 0.139077, -1.000000, 0.147060, -1.000000, 0.130939, -1.000000
0.000000, 0.210000, 4.790000, 0.395963, 0.137631, -1.000000, 0.140838, -1.000000, 0.148365, -1.000000, 0.132286, -1.000000
0.000000, 0.220000, 4.780000, 0.406850, 0.139717, -1.000000, 0.142617, -1.000000, 0.149679, -1.000000, 0.133644, -1.000000
0.000000, 0.230000, 4.770000, 0.417663, 0.141829, -1.000000, 0.144415, -1.000000, 0.151003, -1.000000, 0.135034, -1.000000
0.000000, 0.240000, 4.760000, 0.428400, 0.143967, -1.000000, 0.146232, -1.000000, 0.152337, -1.000000, 0.136496, -1.000000
0.000000, 0.250000, 4.750000, 0.439063, 0.146132, -1.000000, 0.148068, -1.000000, 0.153680, -1.000000, 0.137971, -1.000000
0.000000, 0.260000, 4.740000, 0.449650, 0.148324, -1.000000, 0.149923, -1.000000, 0.155033, -1.000000, 0.139459, -1.000000
0.000000, 0.270000, 4.730000, 0.460163, 0.150544, -1.000000, 0.151796, -1.000000, 0.156396, -1.000000, 0.140961, -1.000000
0.000000, 0.280000, 4.720000, 0.470600, 0.152790, -1.000000, 0.153689, -1.000000, 0.157768, -1.000000, 0.142476, -1.000000
0.000000, 0.290000, 4.710000, 0.480963, 0.155064, -1.000000, 0.155602, -1.000000, 0.159150, -1.000000, 0.144005, -1.000000
0.000000, 0.300000, 4.700000, 0.491250, 0.157365, -1.000000, 0.157533, -1.000000, 0.160542, -1.000000, 0.145548, -1.000000
0.000000, 0.310000, 4.690000, 0.501462, 0.159695, -1.000000, 0.159484, -1.000000, 0.161944, -1.000000, 0.147104, -1.000000
0.000000, 0.320000, 4.680000, 0.511600, 0.162052, -1.000000, 0.161455, -1.000000, 0.163356, -1.000000, 0.148674, -1.000000
