prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor
0.000000, 0.000000, 2.200000, 0.000000, 0.157505, 0.766652, 0.108278, 0.557551
0.000000, 0.010000, 2.190000, 0.021442, 0.158734, -1.000000, 0.109793, -1.000000
0.000000, 0.020000, 2.180000, 0.042650, 0.160317, -1.000000, 0.111327, -1.000000
0.000000, 0.030000, 2.170000, 0.063622, 0.162728, -1.000000, 0.112879, -1.000000
0.000000, 0.040000, 2.160000, 0.084358, 0.165168, -1.000000, 0.114450, -1.000000
0.000000, 0.050000, 2.150000, 0.104860, 0.167637, -1.000000, 0.116040, -1.000000
0.000000, 0.060000, 2.140000, 0.125126, 0.170136, -1.000000, 0.117649, -1.000000
0.000000, 0.070000, 2.130000, 0.145158, 0.172664, -1.000000, 0.119277, -1.000000
0.000000, 0.080000, 2.120000, 0.164954, 0.175221, -1.000000, 0.120925, -1.000000
0.000000, 0.090000, 2.110000, 0.184514, 0.177809, -1.000000, 0.122593, -1.000000
0.000000, 0.100000, 2.100000, 0.203840, 0.180426, -1.000000, 0.124280, -1.000000
0.000000, 0.110000, 2.090000, 0.222930, 0.183074, -1.000000, 0.125987, -1.000000
0.000000, 0.120000, 2.080000, 0.241786, 0.185751, -1.000000, 0.127714, -1.000000
0.000000, 0.130000, 2.070000, 0.260406, 0.188459, -1.000000, 0.129461, -1.000000
0.000000, 0.140000, 2.060000, 0.278790, 0.191196, -1.000000, 0.131229, -1.000000
0.000000, 0.150000, 2.050000, 0.296940, 0.193964, -1.000000, 0.133017, -1.000000
0.000000, 0.160000, 2.040000, 0.314854, 0.196763, -1.000000, 0.134825, -1.000000
0.000000, 0.170000, 2.030000, 0.332534, 0.199591, -1.000000, 0.136655, -1.000000
0.000000, 0.180000, 2.020000, 0.349978, 0.202451, -1.000000, 0.138505, -1.000000
0.000000, 0.190000, 2.010000, 0.367186, 0.205340, -1.000000, 0.140376, -1.000000
0.000000, 0.200000, 2.000000, 0.384160, 0.208260, -1.000000, 0.142268, -1.000000
0.000000, 0.210000, 1.990000, 0.400898, 0.211211, -1.000000, 0.144182, -1.000000
0.000000, 0.220000, 1.980000, 0.417402, 0.214192, -1.000000, 0.146117, -1.000000
0.000000, 0.230000, 1.970000, 0.433670, 0.217203, -1.000000, 0.148073, -1.000000
0.000000, 0.240000, 1.960000, 0.449703, 0.220245, -1.000000, 0.150051, -1.000000
0.000000, 0.250000, 1.950000, 0.465500, 0.223317, -1.000000, 0.152050, -1.000000
0.000000, 0.260000, 1.940000, 0.481063, 0.226420, -1.000000, 0.154072, -1.000000
0.000000, 0.270000, 1.930000, 0.496390, 0.229553, -1.000000, 0.156115, -1.000000
0.000000, 0.280000, 1.920000, 0.511482, 0.232717, -1.000000, 0.158181, -1.000000
0.000000, 0.290000, 1.910000, 0.526338, 0.235911, -1.000000, 0.160268, -1.000000
0.000000, 0.300000, 1.900000, 0.540960, 0.239135, -1.000000, 0.162378, -1.000000
0.000000, 0.310000, 1.890000, 0.555346, 0.242389, -1.000000, 0.164510, -1.000000
0.000000, 0.320000, 1.880000, 0.569498, 0.245673, -1.000000, 0.166664, -1.000000
0.000000, 0.330000, 1.870000, 0.583414, 0.248986, -1.000000, 0.168841, -1.000000
