prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor, agent3EstimatedProfit, agent3Actor, agent4EstimatedProfit, agent4Actor
0.000000, 0.000000, 5.000000, 0.150000, 0.091002, 0.684109, 0.112927, 0.976626, 0.130796, 0.866246, 0.109429, 0.808445
0.000000, 0.010000, 4.990000, 0.162463, 0.092107, -1.000000, 0.114178, -1.000000, 0.131905, -1.000000, 0.109754, -1.000000
0.000000, 0.020000, 4.980000, 0.174850, 0.093225, -1.000000, 0.115531, -1.000000, 0.133022, -1.000000, 0.110080, -1.000000
0.000000, 0.030000, 4.970000, 0.187163, 0.094354, -1.000000, 0.116897, -1.000000, 0.134147, -1.000000, 0.110406, -1.000000
0.000000, 0.040000, 4.960000, 0.199400, 0.095496, -1.000000, 0.118277, -1.000000, 0.135280, -1.000000, 0.111066, -1.000000
0.000000, 0.050000, 4.950000, 0.211562, 0.096650, -1.000000, 0.119671, -1.000000, 0.136420, -1.000000, 0.111802, -1.000000
0.000000, 0.060000, 4.940000, 0.223650, 0.097817, -1.000000, 0.121079, -1.000000, 0.137569, -1.000000, 0.112542, -1.000000
0.000000, 0.070000, 4.930000, 0.235663, 0.098996, -1.000000, 0.122502, -1.000000, 0.138727, -1.000000, 0.113287, -1.000000
0.000000, 0.080000, 4.920000, 0.247600, 0.100188, -1.000000, 0.123939, -1.000000, 0.139892, -1.000000, 0.114035, -1.000000
0.000000, 0.090000, 4.910000, 0.259463, 0.101392, -1.000000, 0.125391, -1.000000, 0.141065, -1.000000, 0.114788, -1.000000
0.000000, 0.100000, 4.900000, 0.271250, 0.102610, -1.000000, 0.126857, -1.000000, 0.142247, -1.000000, 0.115546, -1.000000
0.000000, 0.110000, 4.890000, 0.282963, 0.103840, -1.000000, 0.128337, -1.000000, 0.143437, -1.000000, 0.116307, -1.000000
0.000000, 0.120000, 4.880000, 0.294600, 0.105083, -1.000000, 0.129833, -1.000000, 0.144635, -1.000000, 0.117074, -1.000000
0.000000, 0.130000, 4.870000, 0.306163, 0.106340, -1.000000, 0.131343, -1.000000, 0.145841, -1.000000, 0.118105, -1.000000
0.000000, 0.140000, 4.860000, 0.317650, 0.107609, -1.000000, 0.132868, -1.000000, 0.147056, -1.000000, 0.119182, -1.000000
0.000000, 0.150000, 4.850000, 0.329063, 0.108892, -1.000000, 0.134408, -1.000000, 0.148279, -1.000000, 0.120267, -1.000000
0.000000, 0.160000, 4.840000, 0.340400, 0.110189, -1.000000, 0.135963, -1.000000, 0.149511, -1.000000, 0.121361, -1.000000
0.000000, 0.170000, 4.830000, 0.351663, 0.111498, -1.000000, 0.137533, -1.000000, 0.150751, -1.000000, 0.122464, -1.000000
0.000000, 0.180000, 4.820000, 0.362850, 0.112822, -1.000000, 0.139118, -1.000000, 0.151999, -1.000000, 0.123575, -1.000000
0.000000, 0.190000, 4.810000, 0.373963, 0.114159, -1.000000, 0.140719, -1.000000, 0.153256, -1.000000, 0.124694, -1.000000
0.000000, 0.200000, 4.800000, 0.385000, 0.115510, -1.000000, 0.142335, -1.000000, 0.154521, -1.000000, 0.125823, -1.000000
0.000000, 0.210000, 4.790000, 0.395963, 0.117086, -1.000000, 0.143967, -1.000000, 0.155795, -1.000000, 0.126960, -1.000000
0.000000, 0.220000, 4.780000, 0.406850, 0.118748, -1.000000, 0.145614, -1.000000, 0.157078, -1.000000, 0.128106, -1.000000
0.000000, 0.230000, 4.770000, 0.417663, 0.120430, -1.000000, 0.147276, -1.000000, 0.158369, -1.000000, 0.129261, -1.000000
0.000000, 0.240000, 4.760000, 0.428400, 0.122132, -1.000000, 0.148955, -1.000000, 0.159668, -1.000000, 0.130424, -1.000000
0.000000, 0.250000, 4.750000, 0.439063, 0.123856, -1.000000, 0.150649, -1.000000, 0.160977, -1.000000, 0.131787, -1.000000
0.000000, 0.260000, 4.740000, 0.449650, 0.125600, -1.000000, 0.152359, -1.000000, 0.162294, -1.000000, 0.133161, -1.000000
0.000000, 0.270000, 4.730000, 0.460163, 0.127365, -1.000000, 0.154084, -1.000000, 0.163619, -1.000000, 0.134548, -1.000000
0.000000, 0.280000, 4.720000, 0.470600, 0.129151, -1.000000, 0.155826, -1.000000, 0.164954, -1.000000, 0.135947, -1.000000
0.000000, 0.290000, 4.710000, 0.480963, 0.130958, -1.000000, 0.157584, -1.000000, 0.166297, -1.000000, 0.137358, -1.000000
0.000000, 0.300000, 4.700000, 0.491250, 0.132787, -1.000000, 0.159358, -1.000000, 0.167648, -1.000000, 0.138782, -1.000000
0.000000, 0.310000, 4.690000, 0.501462, 0.134638, -1.000000, 0.161148, -1.000000, 0.169009, -1.000000, 0.140218, -1.000000
0.000000, 0.320000, 4.680000, 0.511600, 0.136510, -1.000000, 0.162954, -1.000000, 0.170378, -1.000000, 0.141666, -1.000000
0.000000, 0.330000, 4.670000, 0.521662, 0.138404, -1.000000, 0.164776, -1.000000, 0.171756, -1.000000, 0.143127, -1.000000
0.000000, 0.340000, 4.660000, 0.531650, 0.140320, -1.000000, 0.166615, -1.000000, 0.173143, -1.000000, 0.144600, -1.000000
0.000000, 0.350000, 4.650000, 0.541562, 0.142258, -1.000000, 0.168470, -1.000000, 0.174539, -1.000000, 0.146086, -1.000000
0.000000, 0.360000, 4.640000, 0.551400, 0.144219, -1.000000, 0.170342, -1.000000, 0.175943, -1.000000, 0.147585, -1.000000
0.000000, 0.370000, 4.630000, 0.561162, 0.146202, -1.000000, 0.172233, -1.000000, 0.177357, -1.000000, 0.149096, -1.000000
0.000000, 0.380000, 4.620000, 0.570850, 0.148207, -1.000000, 0.174142, -1.000000, 0.178779, -1.000000, 0.150620, -1.000000
0.000000, 0.390000, 4.610000, 0.580462, 0.150235, -1.000000, 0.176067, -1.000000, 0.180210, -1.000000, 0.152156, -1.000000
0.000000, 0.400000, 4.600000, 0.590000, 0.152286, -1.000000, 0.178010, -1.000000, 0.181651, -1.000000, 0.153706, -1.000000
0.000000, 0.410000, 4.590000, 0.599462, 0.154360, -1.000000, 0.179997, -1.000000, 0.183152, -1.000000, 0.155268, -1.000000
0.000000, 0.420000, 4.580000, 0.608850, 0.156457, -1.000000, 0.182015, -1.000000, 0.184858, -1.000000, 0.156844, -1.000000
0.000000, 0.430000, 4.570000, 0.618162, 0.158577, -1.000000, 0.184050, -1.000000, 0.186582, -1.000000, 0.158432, -1.000000
0.000000, 0.440000, 4.560000, 0.627400, 0.160720, -1.000000, 0.186102, -1.000000, 0.188321, -1.000000, 0.160034, -1.000000
0.000000, 0.450000, 4.550000, 0.636562, 0.162887, -1.000000, 0.188173, -1.000000, 0.190072, -1.000000, 0.161648, -1.000000
0.000000, 0.460000, 4.540000, 0.645650, 0.165077, -1.000000, 0.190260, -1.000000, 0.191835, -1.000000, 0.163276, -1.000000
0.000000, 0.470000, 4.530000, 0.654662, 0.167290, -1.000000, 0.192366, -1.000000, 0.193611, -1.000000, 0.164916, -1.000000
0.000000, 0.480000, 4.520000, 0.663600, 0.169528, -1.000000, 0.194489, -1.000000, 0.195400, -1.000000, 0.166570, -1.000000
0.000000, 0.490000, 4.510000, 0.672462, 0.171789, -1.000000, 0.196630, -1.000000, 0.197201, -1.000000, 0.168238, -1.000000
0.000000, 0.500000, 4.500000, 0.681250, 0.174074, -1.000000, 0.198789, -1.000000, 0.199014, -1.000000, 0.169918, -1.000000
0.000000, 0.510000, 4.490000, 0.689962, 0.176382, -1.000000, 0.200965, -1.000000, 0.200855, -1.000000, 0.171612, -1.000000
0.000000, 0.520000, 4.480000, 0.698600, 0.178715, -1.000000, 0.203160, -1.000000, 0.202738, -1.000000, 0.173319, -1.000000
0.000000, 0.530000, 4.470000, 0.707162, 0.181072, -1.000000, 0.205372, -1.000000, 0.204633, -1.000000, 0.175040, -1.000000
0.000000, 0.540000, 4.460000, 0.715650, 0.183453, -1.000000, 0.207602, -1.000000, 0.206542, -1.000000, 0.176774, -1.000000
0.000000, 0.550000, 4.450000, 0.724062, 0.185858, -1.000000, 0.209849, -1.000000, 0.208464, -1.000000, 0.178521, -1.000000
0.000000, 0.560000, 4.440000, 0.732400, 0.187179, -1.000000, 0.212115, -1.000000, 0.210398, -1.000000, 0.180282, -1.000000
0.000000, 0.570000, 4.430000, 0.740662, 0.187183, -1.000000, 0.214398, -1.000000, 0.212346, -1.000000, 0.182057, -1.000000
0.000000, 0.580000, 4.420000, 0.748850, 0.187087, -1.000000, 0.216699, -1.000000, 0.214308, -1.000000, 0.183845, -1.000000
0.000000, 0.590000, 4.410000, 0.756962, 0.186991, -1.000000, 0.219018, -1.000000, 0.215671, -1.000000, 0.185646, -1.000000
0.000000, 0.600000, 4.400000, 0.765000, 0.186896, -1.000000, 0.221355, -1.000000, 0.215863, -1.000000, 0.187462, -1.000000
