prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor, agent3EstimatedProfit, agent3Actor, agent4EstimatedProfit, agent4Actor
0.000000, 0.000000, 5.000000, 0.150000, 0.406146, 0.995495, 0.289223, 0.787823, 0.314689, 0.814168, 0.292720, 0.777843
0.000000, 0.010000, 4.990000, 0.162460, 0.406211, -1.000000, 0.290482, -1.000000, 0.315882, -1.000000, 0.293609, -1.000000
0.000000, 0.020000, 4.980000, 0.174840, 0.406276, -1.000000, 0.291744, -1.000000, 0.317077, -1.000000, 0.294499, -1.000000
0.000000, 0.030000, 4.970000, 0.187140, 0.406341, -1.000000, 0.293009, -1.000000, 0.318275, -1.000000, 0.295390, -1.000000
0.000000, 0.040000, 4.960000, 0.199360, 0.406406, -1.000000, 0.294277, -1.000000, 0.319475, -1.000000, 0.296284, -1.000000
0.000000, 0.050000, 4.950000, 0.211500, 0.406471, -1.000000, 0.295548, -1.000000, 0.320677, -1.000000, 0.297178, -1.000000
0.000000, 0.060000, 4.940000, 0.223560, 0.406536, -1.000000, 0.296823, -1.000000, 0.321882, -1.000000, 0.298558, -1.000000
0.000000, 0.070000, 4.930000, 0.235540, 0.406601, -1.000000, 0.298100, -1.000000, 0.323089, -1.000000, 0.299977, -1.000000
0.000000, 0.080000, 4.920000, 0.247440, 0.406667, -1.000000, 0.299381, -1.000000, 0.324298, -1.000000, 0.301400, -1.000000
0.000000, 0.090000, 4.910000, 0.259260, 0.406738, -1.000000, 0.300665, -1.000000, 0.325510, -1.000000, 0.302827, -1.000000
0.000000, 0.100000, 4.900000, 0.271000, 0.406808, -1.000000, 0.301952, -1.000000, 0.326724, -1.000000, 0.304258, -1.000000
0.000000, 0.110000, 4.890000, 0.282660, 0.406879, -1.000000, 0.303243, -1.000000, 0.327941, -1.000000, 0.305692, -1.000000
0.000000, 0.120000, 4.880000, 0.294240, 0.406949, -1.000000, 0.304536, -1.000000, 0.329159, -1.000000, 0.307131, -1.000000
0.000000, 0.130000, 4.870000, 0.305740, 0.407019, -1.000000, 0.305832, -1.000000, 0.330381, -1.000000, 0.308573, -1.000000
0.000000, 0.140000, 4.860000, 0.317160, 0.407090, -1.000000, 0.307132, -1.000000, 0.331604, -1.000000, 0.310019, -1.000000
0.000000, 0.150000, 4.850000, 0.328500, 0.407160, -1.000000, 0.308435, -1.000000, 0.332830, -1.000000, 0.311468, -1.000000
0.000000, 0.160000, 4.840000, 0.339760, 0.407231, -1.000000, 0.309740, -1.000000, 0.334058, -1.000000, 0.312922, -1.000000
0.000000, 0.170000, 4.830000, 0.350940, 0.407301, -1.000000, 0.311049, -1.000000, 0.335288, -1.000000, 0.314379, -1.000000
0.000000, 0.180000, 4.820000, 0.362040, 0.407372, -1.000000, 0.312361, -1.000000, 0.336520, -1.000000, 0.315768, -1.000000
0.000000, 0.190000, 4.810000, 0.373060, 0.407442, -1.000000, 0.313676, -1.000000, 0.337755, -1.000000, 0.316926, -1.000000
0.000000, 0.200000, 4.800000, 0.384000, 0.407512, -1.000000, 0.314993, -1.000000, 0.338992, -1.000000, 0.318086, -1.000000
0.000000, 0.210000, 4.790000, 0.394860, 0.407583, -1.000000, 0.316314, -1.000000, 0.340231, -1.000000, 0.319249, -1.000000
0.000000, 0.220000, 4.780000, 0.405640, 0.407653, -1.000000, 0.317638, -1.000000, 0.341472, -1.000000, 0.320414, -1.000000
0.000000, 0.230000, 4.770000, 0.416340, 0.407724, -1.000000, 0.318964, -1.000000, 0.342716, -1.000000, 0.321582, -1.000000
0.000000, 0.240000, 4.760000, 0.426960, 0.407794, -1.000000, 0.320294, -1.000000, 0.343961, -1.000000, 0.322751, -1.000000
0.000000, 0.250000, 4.750000, 0.437500, 0.407865, -1.000000, 0.321627, -1.000000, 0.345209, -1.000000, 0.323923, -1.000000
0.000000, 0.260000, 4.740000, 0.447960, 0.407935, -1.000000, 0.322962, -1.000000, 0.346459, -1.000000, 0.325097, -1.000000
0.000000, 0.270000, 4.730000, 0.458340, 0.408006, -1.000000, 0.324300, -1.000000, 0.347711, -1.000000, 0.326273, -1.000000
0.000000, 0.280000, 4.720000, 0.468640, 0.408076, -1.000000, 0.325642, -1.000000, 0.348965, -1.000000, 0.327452, -1.000000
0.000000, 0.290000, 4.710000, 0.478860, 0.408147, -1.000000, 0.326986, -1.000000, 0.350221, -1.000000, 0.328632, -1.000000
0.000000, 0.300000, 4.700000, 0.489000, 0.408217, -1.000000, 0.328333, -1.000000, 0.351479, -1.000000, 0.329815, -1.000000
0.000000, 0.310000, 4.690000, 0.499060, 0.408288, -1.000000, 0.329682, -1.000000, 0.352740, -1.000000, 0.331000, -1.000000
0.000000, 0.320000, 4.680000, 0.509040, 0.408358, -1.000000, 0.331035, -1.000000, 0.354002, -1.000000, 0.332187, -1.000000
0.000000, 0.330000, 4.670000, 0.518940, 0.408429, -1.000000, 0.332390, -1.000000, 0.355334, -1.000000, 0.333376, -1.000000
0.000000, 0.340000, 4.660000, 0.528760, 0.408499, -1.000000, 0.333748, -1.000000, 0.356796, -1.000000, 0.334568, -1.000000
0.000000, 0.350000, 4.650000, 0.538500, 0.408569, -1.000000, 0.335109, -1.000000, 0.358262, -1.000000, 0.335761, -1.000000
