prevState, action, price, agentProfit, agent1EstimatedProfit, agent1Actor, agent2EstimatedProfit, agent2Actor, agent3EstimatedProfit, agent3Actor, agent4EstimatedProfit, agent4Actor
0.000000, 0.000000, 2.200000, 0.000000, 0.088362, 0.433125, 0.103590, 0.423922, 0.070565, 0.247992, 0.096479, 0.463647
0.000000, 0.010000, 2.190000, 0.021442, 0.088744, -1.000000, 0.103579, -1.000000, 0.070613, -1.000000, 0.096777, -1.000000
0.000000, 0.020000, 2.180000, 0.042650, 0.089127, -1.000000, 0.103568, -1.000000, 0.070661, -1.000000, 0.097076, -1.000000
0.000000, 0.030000, 2.170000, 0.063622, 0.089512, -1.000000, 0.103556, -1.000000, 0.070709, -1.000000, 0.097375, -1.000000
0.000000, 0.040000, 2.160000, 0.084358, 0.089898, -1.000000, 0.103545, -1.000000, 0.070757, -1.000000, 0.097675, -1.000000
0.000000, 0.050000, 2.150000, 0.104860, 0.090286, -1.000000, 0.103534, -1.000000, 0.070805, -1.000000, 0.097976, -1.000000
0.000000, 0.060000, 2.140000, 0.125126, 0.090675, -1.000000, 0.103523, -1.000000, 0.070853, -1.000000, 0.098278, -1.000000
0.000000, 0.070000, 2.130000, 0.145158, 0.091066, -1.000000, 0.103512, -1.000000, 0.070901, -1.000000, 0.098581, -1.000000
0.000000, 0.080000, 2.120000, 0.164954, 0.091494, -1.000000, 0.103501, -1.000000, 0.070949, -1.000000, 0.098885, -1.000000
0.000000, 0.090000, 2.110000, 0.184514, 0.091937, -1.000000, 0.103490, -1.000000, 0.070997, -1.000000, 0.099189, -1.000000
0.000000, 0.100000, 2.100000, 0.203840, 0.092382, -1.000000, 0.103479, -1.000000, 0.071045, -1.000000, 0.099494, -1.000000
0.000000, 0.110000, 2.090000, 0.222930, 0.092829, -1.000000, 0.103467, -1.000000, 0.071093, -1.000000, 0.099800, -1.000000
0.000000, 0.120000, 2.080000, 0.241786, 0.093278, -1.000000, 0.103456, -1.000000, 0.071142, -1.000000, 0.100107, -1.000000
0.000000, 0.130000, 2.070000, 0.260406, 0.093729, -1.000000, 0.103445, -1.000000, 0.071190, -1.000000, 0.100415, -1.000000
0.000000, 0.140000, 2.060000, 0.278790, 0.094182, -1.000000, 0.103434, -1.000000, 0.071238, -1.000000, 0.100723, -1.000000
0.000000, 0.150000, 2.050000, 0.296940, 0.094637, -1.000000, 0.103423, -1.000000, 0.071286, -1.000000, 0.101033, -1.000000
0.000000, 0.160000, 2.040000, 0.314854, 0.095094, -1.000000, 0.103412, -1.000000, 0.071335, -1.000000, 0.101343, -1.000000
0.000000, 0.170000, 2.030000, 0.332534, 0.095553, -1.000000, 0.103400, -1.000000, 0.071383, -1.000000, 0.101647, -1.000000
0.000000, 0.180000, 2.020000, 0.349978, 0.096014, -1.000000, 0.103388, -1.000000, 0.071431, -1.000000, 0.101952, -1.000000
0.000000, 0.190000, 2.010000, 0.367186, 0.096477, -1.000000, 0.103376, -1.000000, 0.071480, -1.000000, 0.102257, -1.000000
0.000000, 0.200000, 2.000000, 0.384160, 0.096942, -1.000000, 0.103364, -1.000000, 0.071528, -1.000000, 0.102563, -1.000000
0.000000, 0.210000, 1.990000, 0.400898, 0.097409, -1.000000, 0.103352, -1.000000, 0.071576, -1.000000, 0.102869, -1.000000
0.000000, 0.220000, 1.980000, 0.417402, 0.097878, -1.000000, 0.103340, -1.000000, 0.071625, -1.000000, 0.103177, -1.000000
0.000000, 0.230000, 1.970000, 0.433670, 0.098348, -1.000000, 0.103328, -1.000000, 0.071673, -1.000000, 0.103485, -1.000000
0.000000, 0.240000, 1.960000, 0.449703, 0.098821, -1.000000, 0.103316, -1.000000, 0.071722, -1.000000, 0.103794, -1.000000
0.000000, 0.250000, 1.950000, 0.465500, 0.099296, -1.000000, 0.103304, -1.000000, 0.071771, -1.000000, 0.104104, -1.000000
0.000000, 0.260000, 1.940000, 0.481063, 0.099773, -1.000000, 0.103292, -1.000000, 0.071819, -1.000000, 0.104415, -1.000000
0.000000, 0.270000, 1.930000, 0.496390, 0.100252, -1.000000, 0.103280, -1.000000, 0.071868, -1.000000, 0.104727, -1.000000
0.000000, 0.280000, 1.920000, 0.511482, 0.100733, -1.000000, 0.103268, -1.000000, 0.071916, -1.000000, 0.105039, -1.000000
0.000000, 0.290000, 1.910000, 0.526338, 0.101216, -1.000000, 0.103256, -1.000000, 0.071965, -1.000000, 0.105352, -1.000000
0.000000, 0.300000, 1.900000, 0.540960, 0.101343, -1.000000, 0.103244, -1.000000, 0.072014, -1.000000, 0.105666, -1.000000
0.000000, 0.310000, 1.890000, 0.555346, 0.101159, -1.000000, 0.103232, -1.000000, 0.072063, -1.000000, 0.105981, -1.000000
0.000000, 0.320000, 1.880000, 0.569498, 0.100975, -1.000000, 0.103220, -1.000000, 0.072111, -1.000000, 0.106297, -1.000000
0.000000, 0.330000, 1.870000, 0.583414, 0.100791, -1.000000, 0.103208, -1.000000, 0.072160, -1.000000, 0.106613, -1.000000
0.000000, 0.340000, 1.860000, 0.597094, 0.100608, -1.000000, 0.103196, -1.000000, 0.072209, -1.000000, 0.106931, -1.000000
0.000000, 0.350000, 1.850000, 0.610540, 0.100425, -1.000000, 0.103184, -1.000000, 0.072258, -1.000000, 0.107249, -1.000000
0.000000, 0.360000, 1.840000, 0.623750, 0.100242, -1.000000, 0.103172, -1.000000, 0.072307, -1.000000, 0.107568, -1.000000
