round, random_action, action, bestAction, profit, whitenoise, estimated_profit
0, 0.834724, 0.720523, 0.270660, 0.670750, 0.000000, 0.635192
1, 0.752666, 0.334893, 0.280917, 0.417357, 0.299994, 0.637859
2, 0.725169, 0.806917, 0.284354, 0.425984, 0.299988, 0.637907
3, 0.359833, 0.636189, 0.330021, 0.531458, 0.299982, 0.637415
4, 0.590213, 0.685536, 0.301223, 0.725008, 0.299976, 0.634456
5, 0.588463, 0.748357, 0.301442, 0.569421, 0.299970, 0.636468
6, 0.507192, 0.714134, 0.311601, 0.585155, 0.299964, 0.636401
7, 0.345046, 0.868429, 0.331869, 0.547074, 0.299958, 0.636000
8, 0.532839, 0.958896, 0.308395, 0.589051, 0.299952, 0.634837
9, 0.452510, 0.307581, 0.318436, 0.474700, 0.299946, 0.635310
10, 0.580379, 0.720441, 0.302453, 0.664371, 0.000000, 0.635281
11, 0.198868, 0.511839, 0.350141, 0.595415, 0.299934, 0.636021
12, 0.936888, 0.886184, 0.257889, 0.759728, 0.299928, 0.633490
13, 0.116202, 0.786720, 0.360475, 0.321029, 0.299922, 0.639401
14, 0.463419, 0.712485, 0.317073, 0.866161, 0.299916, 0.632472
15, 0.176426, 0.477049, 0.352947, 0.629102, 0.299910, 0.634995
16, 0.135213, 0.673684, 0.358098, 0.828747, 0.299904, 0.632909
17, 0.294701, 0.721464, 0.338162, 0.854850, 0.299898, 0.632646
18, 0.696007, 0.414896, 0.287999, 0.648450, 0.299892, 0.633494
19, 0.683758, 1.000000, 0.289530, 0.253328, 0.299886, 0.637807
20, 0.667371, 0.718651, 0.291579, 0.526376, 0.000000, 0.637199
21, 0.291719, 0.769349, 0.338535, 0.509008, 0.299874, 0.637141
22, 0.837507, 0.834074, 0.270312, 0.722956, 0.299868, 0.634157
23, 0.221496, 0.825821, 0.347313, 0.351560, 0.299862, 0.638639
24, 0.903074, 1.000000, 0.262116, 0.648753, 0.299856, 0.633897
25, 0.234196, 0.284409, 0.345726, 0.362173, 0.299850, 0.638348
26, 0.984970, 1.000000, 0.251879, 0.638170, 0.299844, 0.634002
27, 0.068810, 1.000000, 0.366399, 0.012525, 0.299838, 0.640179
28, 0.789940, 0.185652, 0.276258, 0.396039, 0.299832, 0.631254
29, 0.946330, 0.482320, 0.256709, 0.500576, 0.299826, 0.637715
30, 0.050266, 0.716523, 0.368717, 0.370576, 0.000000, 0.639372
31, 0.989663, 0.939923, 0.251292, 0.838010, 0.299814, 0.632366
32, 0.690989, 0.752958, 0.288626, 0.316506, 0.299808, 0.639786
33, 0.324242, 0.235806, 0.334470, 0.361058, 0.299802, 0.636514
34, 0.333684, 0.660085, 0.333289, 0.745669, 0.299796, 0.634120
35, 0.221053, 0.219637, 0.347368, 0.407618, 0.299790, 0.633516
36, 0.064677, 0.873413, 0.366915, 0.751223, 0.299784, 0.633649
37, 0.957343, 1.000000, 0.255332, 0.779436, 0.299778, 0.632601
38, 0.484560, 1.000000, 0.314430, 0.035548, 0.299772, 0.639952
39, 0.107436, 0.621912, 0.361570, 0.659028, 0.299766, 0.635395
40, 0.046023, 0.723982, 0.369247, 0.871553, 0.000000, 0.632421
41, 0.265107, 0.597459, 0.341862, 0.875805, 0.299754, 0.631703
42, 0.460144, 1.000000, 0.317482, 0.612411, 0.299748, 0.634257
43, 0.125937, 0.464664, 0.359258, 0.623628, 0.299742, 0.634949
