round, random_action, action, bestAction, profit, whitenoise, estimated_profit
0, 0.909204, 0.725462, 0.261350, 0.691989, 0.000000, 0.606577
1, 0.042193, 0.713686, 0.369726, 0.394564, 0.299900, 0.609934
2, 0.289924, 1.000000, 0.338760, 0.798173, 0.299800, 0.602645
3, 0.906780, 1.000000, 0.261652, 0.591730, 0.299700, 0.604267
4, 0.204385, 0.724222, 0.349452, 0.389134, 0.299600, 0.609859
5, 0.338608, 1.000000, 0.332674, 0.663013, 0.299500, 0.603707
6, 0.037622, 0.605337, 0.370297, 0.731811, 0.299400, 0.606830
7, 0.724483, 0.583516, 0.284440, 0.873011, 0.299300, 0.604861
8, 0.581663, 0.466190, 0.302292, 0.521797, 0.299200, 0.610134
9, 0.392941, 0.432296, 0.325882, 0.559732, 0.299100, 0.609396
10, 0.115005, 0.725448, 0.360624, 0.698947, 0.000000, 0.606502
11, 0.224834, 0.707239, 0.346896, 0.866673, 0.298900, 0.604790
12, 0.704283, 0.448109, 0.286965, 0.701645, 0.298800, 0.606981
13, 0.094144, 0.546898, 0.363232, 0.547773, 0.298700, 0.609545
14, 0.066475, 0.499832, 0.366691, 0.793980, 0.298600, 0.605709
15, 0.390121, 1.000000, 0.326235, 0.777937, 0.298500, 0.602804
16, 0.123299, 0.780941, 0.359588, 0.682020, 0.298400, 0.606168
17, 0.116633, 0.778488, 0.360421, 0.856158, 0.298300, 0.604438
18, 0.606762, 0.782933, 0.299155, 0.859596, 0.298200, 0.604369
19, 0.834573, 0.281085, 0.270678, 0.428905, 0.298100, 0.610416
20, 0.767220, 0.725408, 0.279097, 0.431987, 0.000000, 0.609382
21, 0.344498, 0.762447, 0.331938, 0.449771, 0.297900, 0.608733
22, 0.985417, 0.792295, 0.251823, 0.707065, 0.297800, 0.605806
23, 0.104597, 1.000000, 0.361925, 0.012153, 0.297700, 0.608807
24, 0.595534, 0.986889, 0.300558, 0.757951, 0.297600, 0.603129
25, 0.678691, 0.828822, 0.290164, 0.515819, 0.297500, 0.607237
26, 0.171607, 0.554320, 0.353549, 0.560172, 0.297400, 0.609336
27, 0.337071, 0.906074, 0.332866, 0.767328, 0.297300, 0.604028
28, 0.777371, 0.787132, 0.277829, 0.714102, 0.297200, 0.605787
29, 0.584027, 1.000000, 0.301997, 0.185524, 0.297100, 0.607451
30, 0.456606, 0.725673, 0.317924, 0.583336, 0.000000, 0.607748
31, 0.241644, 1.000000, 0.344794, 0.452828, 0.296900, 0.605357
32, 0.609937, 0.536203, 0.298758, 0.753343, 0.296800, 0.606590
33, 0.513293, 1.000000, 0.310838, 0.325053, 0.296700, 0.606358
34, 0.719552, 0.646827, 0.285056, 0.643083, 0.296600, 0.607734
35, 0.431106, 0.885005, 0.321112, 0.376450, 0.296500, 0.607727
36, 0.300032, 1.000000, 0.337496, 0.474078, 0.296400, 0.605190
37, 0.904633, 0.521149, 0.261921, 0.719911, 0.296300, 0.607056
38, 0.128816, 0.952038, 0.358898, 0.151763, 0.296200, 0.608553
39, 0.638564, 0.874485, 0.295179, 0.817799, 0.296100, 0.603928
40, 0.167936, 0.725738, 0.354008, 0.550327, 0.000000, 0.608103
41, 0.625666, 1.000000, 0.296792, 0.693386, 0.295900, 0.603469
42, 0.687433, 0.520196, 0.289071, 0.578260, 0.295800, 0.609185
43, 0.343895, 1.000000, 0.332013, 0.260472, 0.295700, 0.606864
44, 0.609670, 0.519883, 0.298791, 0.700256, 0.295600, 0.607350
45, 0.401418, 0.638688, 0.324823, 0.592359, 0.295500, 0.608408
46, 0.722012, 0.536896, 0.284748, 0.682211, 0.295400, 0.607628
47, 0.596085, 0.868210, 0.300489, 0.391829, 0.295300, 0.607838
48, 0.811942, 0.981589, 0.273507, 0.360519, 0.295200, 0.606373
49, 0.808406, 0.930847, 0.273949, 0.253162, 0.295100, 0.608069
