round, random_action, action, bestAction, profit, whitenoise, estimated_profit
0, 0.785094, 0.326620, 0.276863, 0.473817, 0.000000, 0.492043
1, 0.657259, 0.161255, 0.292843, 0.254298, 0.299970, 0.491481
2, 0.078180, 0.195780, 0.365227, 0.318335, 0.299940, 0.490078
3, 0.502979, 0.418315, 0.312128, 0.726889, 0.299910, 0.490155
4, 0.871027, 0.201675, 0.266122, 0.351868, 0.299880, 0.487680
5, 0.587183, 0.195631, 0.301602, 0.283292, 0.299850, 0.493665
6, 0.657552, 0.528537, 0.292806, 0.597134, 0.299820, 0.496816
7, 0.433359, 0.706765, 0.320830, 0.547106, 0.299790, 0.501936
8, 0.711780, 0.632230, 0.286028, 0.686065, 0.299760, 0.498876
9, 0.813004, 0.221789, 0.273374, 0.340935, 0.299730, 0.491543
10, 0.632098, 0.325934, 0.295988, 0.416959, 0.000000, 0.495480
11, 0.448318, 0.326495, 0.318960, 0.466592, 0.299670, 0.492468
12, 0.880797, 0.974711, 0.264900, 0.489192, 0.299640, 0.505412
13, 0.850681, 0.903453, 0.268665, 0.235122, 0.299610, 0.504516
14, 0.117805, 0.794865, 0.360274, 0.370665, 0.299580, 0.503777
15, 0.846578, 0.000000, 0.269178, 0.000000, 0.299550, 0.480951
16, 0.721321, 0.681601, 0.284835, 0.448846, 0.299520, 0.502945
17, 0.259076, 0.243126, 0.342615, 0.363155, 0.299490, 0.492161
18, 0.273632, 0.433935, 0.340796, 0.677320, 0.299460, 0.490609
19, 0.471354, 0.000000, 0.316081, 0.000000, 0.299430, 0.482363
20, 0.110638, 0.327067, 0.361170, 0.510909, 0.000000, 0.489850
21, 0.654126, 0.727111, 0.293234, 0.869588, 0.299370, 0.498263
22, 0.767409, 0.000000, 0.279074, 0.000000, 0.299340, 0.485831
23, 0.202844, 0.000000, 0.349644, 0.000000, 0.299310, 0.487728
24, 0.340789, 0.339907, 0.332401, 0.599750, 0.299280, 0.487456
25, 0.631335, 0.635313, 0.296083, 0.735155, 0.299250, 0.498247
26, 0.658091, 0.612684, 0.292739, 0.583733, 0.299220, 0.499977
27, 0.328554, 0.280426, 0.333931, 0.416213, 0.299190, 0.491906
28, 0.726366, 0.862058, 0.284204, 0.680544, 0.299160, 0.502411
29, 0.008350, 0.366245, 0.373956, 0.470364, 0.299130, 0.494885
30, 0.857107, 0.331321, 0.267862, 0.643042, 0.000000, 0.487245
31, 0.147825, 0.267526, 0.356522, 0.358449, 0.299070, 0.494971
32, 0.826774, 0.383145, 0.271653, 0.665997, 0.299040, 0.488939
33, 0.621035, 0.842438, 0.297371, 0.342837, 0.299010, 0.504143
34, 0.629710, 0.255164, 0.296286, 0.397341, 0.298980, 0.490758
35, 0.333587, 0.526303, 0.333302, 0.577918, 0.298950, 0.497041
36, 0.615960, 0.000000, 0.298005, 0.000000, 0.298920, 0.482907
37, 0.939547, 0.491427, 0.257557, 0.573817, 0.298890, 0.495779
38, 0.797043, 0.294875, 0.275370, 0.361394, 0.298860, 0.497001
39, 0.822110, 0.000000, 0.272236, 0.000000, 0.298830, 0.488227
40, 0.232185, 0.325904, 0.345977, 0.414464, 0.000000, 0.495633
41, 0.912138, 0.716679, 0.260983, 0.796981, 0.298770, 0.498968
42, 0.896836, 0.656249, 0.262896, 0.424027, 0.298740, 0.502708
43, 0.369499, 0.000000, 0.328813, 0.000000, 0.298710, 0.489907
44, 0.406670, 0.207963, 0.324166, 0.383791, 0.298680, 0.486327
45, 0.895480, 0.254334, 0.263065, 0.441834, 0.298650, 0.487355
46, 0.754825, 0.169703, 0.280647, 0.249621, 0.298620, 0.493521
47, 0.733439, 0.207421, 0.283320, 0.316374, 0.298590, 0.491960
48, 0.129515, 0.438443, 0.358811, 0.507745, 0.298560, 0.496648
49, 0.327754, 0.587297, 0.334031, 0.829993, 0.298530, 0.495780
50, 0.871351, 0.327543, 0.266081, 0.550589, 0.000000, 0.487729
51, 0.455490, 0.072759, 0.318064, 0.120242, 0.298470, 0.491037
52, 0.225014, 0.321895, 0.346873, 0.509860, 0.298440, 0.489480
53, 0.400011, 0.372239, 0.324999, 0.629862, 0.298410, 0.488539
54, 0.433768, 0.525309, 0.320779, 0.678249, 0.298380, 0.495241
55, 0.070614, 0.072893, 0.366173, 0.147028, 0.298350, 0.484900
56, 0.412968, 0.189621, 0.323379, 0.402967, 0.298320, 0.483344
57, 0.403994, 0.427455, 0.324501, 0.617003, 0.298290, 0.491384
58, 0.269675, 0.000000, 0.341291, 0.000000, 0.298260, 0.483545
59, 0.743036, 0.533772, 0.282121, 0.739621, 0.298230, 0.494685
60, 0.180518, 0.326166, 0.352435, 0.436147, 0.000000, 0.494307
61, 0.700104, 0.473238, 0.287487, 0.738648, 0.298170, 0.491968
62, 0.890531, 0.213211, 0.263684, 0.332871, 0.298140, 0.491163
63, 0.418582, 0.111370, 0.322677, 0.175104, 0.298110, 0.492188
64, 0.435607, 0.649356, 0.320549, 0.694111, 0.298080, 0.499087
65, 0.352326, 1.000000, 0.330959, 0.470327, 0.298050, 0.505792
66, 0.140728, 0.401673, 0.357409, 0.617347, 0.298020, 0.489927
67, 0.730182, 0.504227, 0.283727, 0.777694, 0.297990, 0.493031
68, 0.624505, 0.433522, 0.296937, 0.506778, 0.297960, 0.496468
69, 0.465957, 0.140640, 0.316755, 0.245442, 0.297930, 0.488360
70, 0.561679, 0.327084, 0.304790, 0.512398, 0.000000, 0.489762
71, 0.896863, 0.746007, 0.262892, 0.588293, 0.297870, 0.501962
72, 0.469681, 0.611336, 0.316290, 0.448550, 0.297840, 0.502199
73, 0.891803, 0.102020, 0.263525, 0.197773, 0.297810, 0.485659
74, 0.792461, 0.363549, 0.275942, 0.418414, 0.297780, 0.497779
